file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
side_lg_21.dat,1335,1335,0.0425,0.0425,0.9797,15,81,69.936,1.7,1426,1890,0.0363,0.0719,0.9757,9,98,106.268,2.718,2634,2634,0.0912,0.0912,0.8252,6,177,756.531,7.902,2645,2645,0.0957,0.0957,0.8206,5,186,1030.25,8.789,2097,2466,0.0584,0.0904,0.9089,7,142,331.679,4.656,2396,2649,0.0749,0.1006,0.8421,6,169,762.376,7.613
side_lg_35.dat,1847,1847,0.0614,0.0614,0.9789,23,114,102.841,2.94,1812,2109,0.0502,0.0765,0.9813,11,118,113.567,3.201,2784,2784,0.097,0.097,0.8359,11,184,790.737,7.869,2792,2792,0.1007,0.1007,0.8306,9,190,1066.889,8.555,2214,2720,0.0631,0.0981,0.8843,12,150,377.563,5.61,2499,2936,0.0817,0.1126,0.8561,9,176,741.681,7.449
side_lg_23.dat,1739,1739,0.0546,0.0546,0.9782,19,108,109.712,2.764,1223,1638,0.0268,0.0554,0.9861,10,77,56.287,1.393,2470,2470,0.0869,0.0869,0.8357,10,171,742.541,7.983,2368,2368,0.0847,0.0847,0.7364,10,166,1044.47,9.618,1902,2337,0.0526,0.0848,0.8773,13,135,359.341,5.698,2079,2420,0.062,0.0878,0.8423,13,150,670.675,7.197
side_lg_37.dat,1587,1587,0.0413,0.0413,0.9607,18,88,134.207,1.919,1738,2165,0.0343,0.072,0.9589,10,105,129.636,2.644,2995,2995,0.0918,0.0918,0.8381,12,196,965.837,8.372,2993,2993,0.0949,0.0949,0.8139,10,200,1198.683,9.35,2338,2877,0.0552,0.0973,0.885,10,149,459.404,5.253,2783,3117,0.0789,0.1062,0.8383,9,187,946.472,8.319
side_lg_36.dat,1973,1973,0.0625,0.0625,0.9699,21,126,136.981,3.513,1612,2025,0.0436,0.0779,0.9725,8,116,122.558,3.808,2756,2756,0.0966,0.0966,0.8286,12,198,914.41,9.726,2686,2686,0.0957,0.0957,0.7762,11,202,1329.844,12.152,2175,2832,0.0615,0.1128,0.8966,8,162,423.103,6.289,2404,2899,0.0767,0.1118,0.8433,8,186,932.115,9.375
side_lg_22.dat,1700,1700,0.0486,0.0486,0.9734,21,99,96.188,2.069,1695,2081,0.0409,0.0726,0.9791,10,108,99.621,2.478,3031,3031,0.1029,0.1029,0.8601,11,203,861.064,8.402,3036,3036,0.1069,0.1069,0.86,9,213,1100.359,9.357,2557,2985,0.0703,0.1078,0.9221,13,173,399.612,5.493,2693,3007,0.0846,0.1122,0.8188,10,194,1079.375,10.395
side_lg_26.dat,1537,1537,0.0378,0.0378,0.9775,19,86,78.361,1.674,1648,2047,0.0327,0.0633,0.9734,12,103,117.767,2.51,2664,2664,0.0834,0.0834,0.8322,11,176,849.501,7.43,2616,2616,0.0842,0.0842,0.7921,11,182,1070.013,9.674,2185,2605,0.0581,0.0919,0.8999,14,152,390.8,5.742,2399,2733,0.0691,0.0979,0.8114,11,171,933.371,9.145
side_lg_32.dat,1567,1567,0.0501,0.0501,0.9871,12,91,67.696,1.471,1408,1803,0.0312,0.068,0.9692,8,88,89.792,1.966,2770,2770,0.0941,0.0941,0.8606,4,182,743.424,6.537,2708,2708,0.0942,0.0942,0.8046,3,185,1182.68,8.719,2090,2586,0.0568,0.1024,0.8953,5,139,357.686,4.794,2403,2768,0.0753,0.1014,0.791,4,170,952.802,9.02
side_lg_33.dat,2201,2201,0.0724,0.0724,0.9745,23,135,136.439,3.483,1662,2109,0.0458,0.079,0.9687,11,111,116.762,2.974,2888,2888,0.0996,0.0996,0.8572,17,195,826.387,7.727,2845,2845,0.1011,0.1011,0.8131,15,197,1139.873,9.295,2249,2670,0.072,0.1005,0.878,11,163,475.368,7.391,2617,2894,0.0856,0.1039,0.8463,11,183,928.973,7.865
side_lg_27.dat,1862,1862,0.0557,0.0557,0.9694,28,109,115.178,2.43,1646,1766,0.0467,0.0624,0.941,10,112,143.004,4.226,2753,2753,0.0947,0.0947,0.837,19,187,904.267,15.279,2700,2700,0.0991,0.0991,0.8066,17,195,1242.167,10.183,2345,2574,0.067,0.0886,0.8732,13,159,511.905,6.154,2492,2808,0.078,0.1053,0.856,14,180,819.423,7.919
side_lg_19.dat,1742,1742,0.0586,0.0586,0.9763,18,111,92.22,2.658,1866,2199,0.0553,0.0837,0.9657,10,129,136.197,3.762,2752,2752,0.0983,0.0983,0.8373,9,190,859.936,7.885,2719,2719,0.1056,0.1056,0.8008,7,202,1246.434,10.448,2466,2677,0.078,0.1028,0.882,9,173,489.524,6.686,2524,2725,0.0808,0.0999,0.8381,8,179,946.952,9.919
side_lg_31.dat,1713,1713,0.0484,0.0484,0.9745,24,98,81.622,1.819,1814,2167,0.0439,0.0728,0.9752,11,115,120.091,2.992,3008,3008,0.0992,0.0992,0.8705,16,201,805.141,7.211,2963,2963,0.0998,0.0998,0.8278,15,201,1319.434,8.981,2421,2817,0.0658,0.0961,0.935,14,164,367.083,4.621,2658,2872,0.0814,0.1004,0.8414,14,185,895.285,8.175
side_lg_25.dat,1883,1883,0.059,0.059,0.9733,20,117,125.827,3.353,1689,1909,0.0385,0.0614,0.9716,13,108,119.735,3.114,2600,2600,0.0864,0.0864,0.8656,10,176,633.823,6.331,2563,2563,0.085,0.085,0.8174,9,174,947.536,7.627,2103,2356,0.0529,0.0805,0.858,9,138,426.542,5.445,2344,2632,0.0669,0.0909,0.8029,6,160,847.699,8.212
side_lg_24.dat,1782,1782,0.0486,0.0486,0.9756,26,100,101.957,1.9,1647,2055,0.0417,0.0681,0.9825,14,106,91.611,2.426,2718,2718,0.089,0.089,0.8809,18,178,600.985,6.02,2685,2685,0.0913,0.0913,0.8467,15,181,930.389,7.256,2156,2689,0.0621,0.0974,0.8625,13,152,446.632,6.522,2443,2835,0.0734,0.1005,0.8567,14,172,722.738,7.232
side_lg_30.dat,1802,1802,0.059,0.059,0.9725,15,122,111.084,3.513,1686,1966,0.0479,0.0725,0.9858,7,121,103.394,3.323,2782,2782,0.0978,0.0978,0.8707,7,199,832.007,7.87,2713,2713,0.1011,0.1011,0.8189,6,206,1186.309,10.52,2192,2636,0.0661,0.097,0.8738,7,165,514.084,7.567,2515,2822,0.0838,0.105,0.8628,6,195,855.957,8.881
side_lg_18.dat,1733,1733,0.0505,0.0505,0.9709,21,101,100.246,2.128,1702,2177,0.039,0.0795,0.9682,13,109,134.734,2.974,2824,2824,0.0967,0.0967,0.8019,12,192,966.455,9.688,2872,2872,0.1,0.1,0.8417,12,198,1037.462,8.469,2245,2653,0.0618,0.0952,0.887,12,154,413.259,5.904,2604,2954,0.0798,0.1061,0.889,12,184,709.861,6.718
side_lg_15.dat,1917,1917,0.0565,0.0565,0.9499,24,115,153.672,3.613,1472,1792,0.035,0.0612,0.9713,13,95,92.378,2.081,2773,2773,0.0889,0.0889,0.8338,15,178,818.033,6.984,2792,2792,0.0952,0.0952,0.8463,13,190,1059.592,7.82,2302,2815,0.0667,0.1013,0.8514,14,162,529.986,7.779,2486,2936,0.0753,0.106,0.8343,13,174,863.889,8.043
side_lg_29.dat,2108,2108,0.0681,0.0681,0.954,24,139,170.565,4.681,1688,2062,0.0481,0.0732,0.9839,10,120,98.299,3.132,2956,2956,0.0951,0.0951,0.8293,13,196,939.378,8.257,2872,2872,0.1014,0.1014,0.7734,12,204,1318.546,11.036,2412,3021,0.0672,0.1101,0.8719,11,172,521.859,7.463,2660,3159,0.0791,0.1143,0.8555,12,193,898.575,8.799
