file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
weight_lg_47.dat,7368,7368,1.0,1.0,0.9391,285,401,1115.006,4.576,6967,7348,0.9131,1.0,0.9501,28,484,2055.184,18.79,6667,6667,1.0,1.0,0.5117,403,403,718.654,0.003,5926,5926,1.0,1.0,0.3348,405,405,838.358,0.006,7444,7452,0.9978,0.9999,0.9353,23,516,2815.356,18.513,7131,7131,1.0,1.0,0.7866,504,504,1127.976,0.003
weight_lg_2.dat,7938,7938,1.0,1.0,0.946,253,405,788.981,4.329,7741,8187,0.9176,0.9999,0.9736,27,495,2207.377,17.081,7124,7124,1.0,1.0,0.4882,413,413,800.464,0.002,6294,6294,1.0,1.0,0.3174,407,407,857.012,0.002,8060,8061,0.9996,1.0,0.9315,28,520,2055.349,13.716,7528,7528,1.0,1.0,0.7274,500,500,1164.806,0.002
weight_lg_20.dat,7636,7636,1.0,1.0,0.9606,266,431,1376.588,6.97,7008,7605,0.8331,0.9999,0.9596,27,479,2127.982,17.508,7311,7311,1.0,1.0,0.6802,436,436,888.075,0.002,6353,6353,1.0,1.0,0.413,431,431,960.611,0.002,7364,7679,0.9374,1.0,0.9461,25,508,3419.058,18.75,7430,7438,0.9994,1.0,0.8794,25,522,1949.713,12.584
weight_lg_34.dat,7587,7587,1.0,1.0,0.9281,293,398,1065.143,3.874,6735,7391,0.8338,1.0,0.9617,30,467,1985.647,18.69,6524,6524,1.0,1.0,0.4238,387,387,632.366,0.002,5810,5810,1.0,1.0,0.2867,381,381,716.287,0.002,7541,7546,0.9978,1.0,0.936,29,509,3015.63,19.3,7252,7252,0.9999,0.9999,0.787,494,494,1101.351,0.002
weight_lg_35.dat,7681,7681,1.0,1.0,0.9633,276,413,1123.41,4.686,6581,7554,0.7787,1.0,0.9697,29,450,1866.2,16.334,6702,6702,1.0,1.0,0.4953,401,401,713.763,0.003,5953,5953,1.0,1.0,0.3351,402,402,814.035,0.002,6999,7579,0.8907,0.9999,0.9183,30,483,3095.083,18.538,7310,7319,0.9994,1.0,0.8539,28,505,1560.78,9.318
weight_lg_21.dat,7502,7502,1.0,1.0,0.9427,276,391,837.898,3.462,7201,7498,0.9307,1.0,0.9615,31,490,2241.146,18.03,6659,6659,1.0,1.0,0.4541,394,394,699.815,0.002,5909,5909,1.0,1.0,0.3001,394,394,799.285,0.002,7493,7493,1.0,1.0,0.8979,30,508,2036.327,15.926,7102,7102,1.0,1.0,0.7087,489,489,1027.876,0.006
weight_lg_3.dat,7685,7685,1.0,1.0,0.9431,276,416,1246.605,5.146,6575,7342,0.7932,0.9999,0.9552,30,462,2140.369,18.841,6865,6865,1.0,1.0,0.5267,412,412,754.291,0.002,6078,6078,1.0,1.0,0.3517,412,412,848.182,0.003,7449,7482,0.9958,1.0,0.9309,34,523,3689.93,21.194,7398,7407,0.9992,0.9998,0.823,55,511,1472.504,8.413
weight_lg_1.dat,7550,7550,1.0,1.0,0.9314,286,391,824.44,3.277,7305,7764,0.8859,1.0,0.9727,25,477,2201.441,16.538,6682,6682,1.0,1.0,0.4424,394,394,715.335,0.002,6114,6114,1.0,1.0,0.3248,400,400,819.014,0.002,7581,7584,0.9989,1.0,0.9143,23,519,3423.187,20.012,7294,7294,1.0,1.0,0.7519,502,502,1168.774,0.004
weight_lg_37.dat,7734,7734,1.0,1.0,0.9321,297,401,919.804,3.829,7637,7641,0.9992,1.0,0.9633,31,507,2019.334,20.192,6464,6464,1.0,1.0,0.3787,380,380,634.783,0.002,5835,5835,1.0,1.0,0.265,380,380,728.623,0.002,7843,7844,0.9995,0.9998,0.925,34,508,1535.846,12.517,7398,7398,1.0,1.0,0.7613,490,490,1045.706,0.002
weight_lg_23.dat,7482,7482,1.0,1.0,0.9192,310,397,748.786,2.826,7279,7573,0.941,1.0,0.9674,26,500,2494.466,18.128,6741,6741,1.0,1.0,0.4834,407,407,738.887,0.003,5976,5976,1.0,1.0,0.3118,403,403,836.646,0.002,7647,7649,0.9993,0.9999,0.8956,23,513,1284.062,10.613,7167,7167,1.0,1.0,0.704,493,493,1100.992,0.002
