file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
side_sm_18.dat,1489,1489,0.0966,0.0966,0.9716,24,91,84.759,2.026,1622,2025,0.0912,0.1688,0.9786,10,111,110.353,2.758,2899,2899,0.2321,0.2321,0.8677,16,198,777.313,7.537,2888,2888,0.2311,0.2311,0.8496,15,199,1038.025,7.919,2020,2638,0.1229,0.2482,0.8909,12,141,347.239,5.444,2607,2892,0.1816,0.2536,0.8802,15,182,743.088,6.886
side_sm_30.dat,1364,1364,0.1154,0.1154,0.97,17,86,83.934,2.203,1411,2174,0.0982,0.2213,0.9668,8,102,113.498,3.158,2572,2572,0.2352,0.2352,0.8367,13,180,789.386,8.885,2518,2518,0.2431,0.2431,0.787,10,186,1094.412,11.121,1783,2629,0.1276,0.2778,0.8911,10,130,275.291,5.311,2151,2889,0.1725,0.3074,0.8024,9,161,840.396,10.513
side_sm_24.dat,1903,1903,0.1561,0.1561,0.9496,20,132,168.306,4.98,1865,2512,0.1044,0.2267,0.9583,8,131,157.07,4.11,2818,2818,0.2493,0.2493,0.8822,14,205,835.402,8.507,2790,2790,0.2555,0.2555,0.8425,12,210,1141.22,10.369,2242,2900,0.1457,0.2634,0.8424,10,163,496.246,7.73,2434,2906,0.1776,0.2745,0.8792,12,183,709.632,7.432
side_sm_25.dat,2011,2011,0.1475,0.1475,0.9609,18,126,171.708,4.321,1663,2018,0.0981,0.1838,0.9676,7,114,132.157,3.076,2621,2621,0.214,0.214,0.8626,13,180,747.992,7.31,2590,2590,0.2176,0.2176,0.8253,12,184,1031.784,8.368,1963,2583,0.129,0.239,0.8786,8,140,370.336,6.185,2278,2761,0.1619,0.2645,0.8515,9,167,750.229,8.968
side_sm_31.dat,1770,1770,0.1301,0.1301,0.9787,16,105,111.798,2.255,1740,2118,0.1114,0.1892,0.9673,8,117,134.58,4.176,2882,2882,0.2567,0.2567,0.8042,12,198,1041.66,9.732,2914,2914,0.2708,0.2708,0.822,12,208,1213.12,10.06,2214,2771,0.1532,0.26,0.9214,10,153,280.841,4.859,2418,3049,0.1914,0.3052,0.8519,9,178,787.583,8.321
side_sm_19.dat,1656,1656,0.1203,0.1203,0.9774,19,95,92.579,1.985,1578,2148,0.0794,0.1874,0.9775,9,95,86.03,1.804,2897,2897,0.2315,0.2315,0.8466,10,189,867.525,7.526,2932,2932,0.2552,0.2552,0.8543,8,205,1038.702,8.521,2208,2702,0.1404,0.2447,0.9124,10,144,299.726,4.599,2491,2883,0.1785,0.2646,0.8666,9,169,663.773,6.745
side_sm_27.dat,1889,1889,0.1462,0.1462,0.9884,16,111,68.544,1.904,2099,2497,0.144,0.2272,0.9661,8,138,155.205,4.153,3043,3043,0.2653,0.2653,0.8377,9,202,969.204,8.101,3008,3008,0.2745,0.2745,0.8132,8,210,1286.958,9.856,2567,2867,0.1857,0.2605,0.9303,8,172,328.679,4.809,2747,3031,0.2198,0.2825,0.8212,8,192,979.23,8.953
side_sm_33.dat,2030,2030,0.154,0.154,0.9707,22,128,128.44,3.547,1615,1972,0.0888,0.1649,0.9708,11,108,118.57,3.08,2831,2831,0.2516,0.2516,0.8637,12,200,772.384,7.732,2756,2756,0.2472,0.2472,0.7919,12,197,1260.386,10.068,2352,2732,0.1817,0.2597,0.9156,10,171,363.422,6.04,2453,2697,0.1988,0.2494,0.8174,11,180,818.835,9.154
side_sm_32.dat,1703,1703,0.1256,0.1256,0.9693,15,104,105.593,2.638,1552,1941,0.1162,0.1893,0.9773,6,114,117.536,3.853,2689,2689,0.2221,0.2221,0.8454,9,178,726.127,7.006,2651,2651,0.2314,0.2314,0.8208,7,183,990.798,8.141,1994,2685,0.1349,0.2764,0.8986,8,142,317.613,5.252,2292,2890,0.1661,0.2641,0.851,7,162,663.046,6.906
side_sm_26.dat,1780,1780,0.1281,0.1281,0.9842,20,103,93.891,1.988,1724,2302,0.0979,0.2081,0.9755,12,114,115.539,2.991,2967,2967,0.2495,0.2495,0.86,15,196,811.582,7.16,2873,2873,0.2559,0.2559,0.7832,13,200,1242.818,10.252,2300,2885,0.1619,0.268,0.8869,14,159,356.962,6.293,2450,3071,0.188,0.2941,0.8529,14,176,741.394,7.647
side_sm_17.dat,1483,1483,0.1233,0.1233,0.9698,19,92,104.13,2.251,1211,1749,0.0703,0.165,0.9806,7,79,67.266,1.52,2434,2434,0.2149,0.2149,0.8469,13,163,680.076,6.601,2436,2436,0.2285,0.2285,0.8229,13,175,929.182,8.314,1771,2434,0.1181,0.2723,0.8886,8,125,305.433,5.155,1977,2579,0.1528,0.289,0.8767,8,145,536.297,6.244
side_sm_16.dat,1628,1628,0.1131,0.1131,0.9822,17,94,113.965,1.821,1571,2138,0.095,0.1886,0.9686,6,110,123.825,3.483,2881,2881,0.2374,0.2374,0.8441,11,196,878.064,8.007,2872,2872,0.252,0.252,0.8441,10,209,1092.446,9.641,2120,2896,0.1585,0.2832,0.9178,6,160,341.029,6.028,2345,3132,0.1804,0.3036,0.8704,6,177,688.576,7.978
side_sm_14.dat,2061,2061,0.1291,0.1291,0.9752,16,119,123.28,2.951,1780,2006,0.1116,0.163,0.9603,12,123,144.66,4.346,2944,2944,0.229,0.229,0.9079,7,196,670.951,5.604,2815,2815,0.2419,0.2419,0.8081,5,202,1191.063,9.932,2205,2507,0.1516,0.2027,0.9265,12,156,390.519,5.419,2370,2710,0.1579,0.2131,0.8412,12,164,708.798,7.177
side_sm_28.dat,1864,1864,0.1376,0.1376,0.9809,21,113,96.85,2.307,1542,2122,0.078,0.192,0.9598,10,104,115.461,2.984,2838,2838,0.2288,0.2288,0.8664,17,186,720.154,6.079,2815,2815,0.2409,0.2409,0.8047,14,194,1123.05,8.86,1991,2575,0.118,0.2459,0.9208,12,137,302.51,4.276,2413,2827,0.1744,0.2658,0.8517,13,171,767.424,7.166
