file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
uniform_38.dat,3440,3440,0.2508,0.2508,0.9715,41,197,431.694,7.383,2819,4304,0.1625,0.4594,0.9689,19,188,406.087,8.586,4423,4423,0.3681,0.3681,0.8909,22,294,2082.621,14.262,4311,4311,0.3778,0.3778,0.8225,20,300,2537.023,15.95,3418,4660,0.2301,0.4964,0.9363,20,233,917.099,11.982,3578,4654,0.2523,0.4817,0.8903,22,246,1650.33,13.456
uniform_10.dat,3405,3405,0.2463,0.2463,0.9751,37,190,343.828,5.989,3043,4375,0.1681,0.4092,0.9793,13,191,341.662,6.613,4893,4893,0.4101,0.4101,0.896,19,322,2432.634,14.644,4800,4800,0.4289,0.4289,0.8354,15,331,2919.498,16.39,3545,4730,0.2257,0.4351,0.9629,15,234,798.003,8.553,4321,4990,0.3273,0.4774,0.9055,16,297,2210.406,14.704
uniform_12.dat,2891,2891,0.2163,0.2163,0.9669,37,167,360.045,5.805,2749,4572,0.1746,0.469,0.9718,7,190,405.803,8.466,4343,4343,0.3765,0.3765,0.8967,17,300,2062.522,15.903,4302,4302,0.4007,0.4007,0.871,12,321,2764.402,18.003,3302,4882,0.2675,0.5219,0.9161,10,254,930.325,14.718,3597,4975,0.2871,0.5187,0.8799,10,273,1884.902,15.241
uniform_13.dat,2896,2896,0.2165,0.2165,0.9871,36,170,258.23,5.633,2618,4286,0.1502,0.4157,0.9789,11,175,341.565,7.192,4447,4447,0.367,0.367,0.891,15,297,2214.137,31.593,4412,4412,0.395,0.395,0.8712,13,317,2778.651,17.052,3351,4440,0.2293,0.4539,0.936,15,229,854.545,11.66,3830,4866,0.2841,0.4474,0.913,15,270,1827.363,14.342
uniform_48.dat,2774,2775,0.1842,0.1851,0.9703,35,151,294.812,4.25,2479,4923,0.1177,0.5038,0.9647,4,164,339.389,6.21,4492,4492,0.3571,0.3571,0.8637,15,284,2148.546,12.427,4487,4487,0.3761,0.3761,0.8467,13,305,2675.271,16.736,3227,5121,0.2141,0.5532,0.9158,6,228,920.342,11.129,3755,5333,0.2571,0.5418,0.856,10,261,1786.258,12.632
uniform_49.dat,3536,3536,0.2627,0.2627,0.9715,32,204,442.685,7.187,3041,5165,0.1816,0.5336,0.9708,12,202,400.047,7.896,4775,4775,0.3975,0.3975,0.8644,16,311,2327.881,14.147,4768,4768,0.4146,0.4146,0.8427,13,328,2870.4,17.027,3419,5537,0.2272,0.5653,0.9289,11,236,1109.146,11.266,4064,5381,0.3073,0.5145,0.8353,11,290,2076.681,15.272
uniform_41.dat,2942,2942,0.2377,0.2377,0.9843,55,181,319.793,6.822,2563,4399,0.1553,0.5097,0.9774,8,177,348.675,6.553,4361,4361,0.3933,0.3933,0.8804,15,304,2233.94,15.075,4339,4339,0.4089,0.4089,0.8409,13,314,2727.368,16.393,3334,5043,0.2375,0.5543,0.9211,8,234,856.497,11.058,3495,5020,0.2653,0.5241,0.8526,9,256,1735.72,12.879
uniform_40.dat,2924,2924,0.2291,0.2291,0.9754,43,176,371.103,6.483,2593,4283,0.2015,0.4731,0.967,13,194,414.455,10.211,4042,4042,0.346,0.346,0.8903,22,273,1761.985,12.876,3947,3947,0.3564,0.3564,0.8164,19,281,2266.944,14.474,2947,4949,0.206,0.5043,0.9423,18,215,793.354,10.735,3346,5117,0.2576,0.5162,0.8851,18,250,1614.595,12.875
uniform_42.dat,3232,3232,0.2272,0.2272,0.984,64,188,316.766,5.94,2732,4445,0.1463,0.4394,0.9777,9,176,337.488,5.855,4521,4521,0.366,0.366,0.8531,14,293,1947.435,12.878,4569,4569,0.381,0.381,0.8562,13,308,2577.848,14.38,3457,5136,0.2348,0.5411,0.922,12,237,932.329,10.911,3785,5038,0.2671,0.4938,0.8346,13,257,1756.393,12.056
uniform_43.dat,3232,3232,0.2457,0.2457,0.9785,51,203,411.373,8.312,2652,4563,0.139,0.4584,0.9662,8,177,405.037,6.472,4208,4208,0.3289,0.3289,0.8967,20,278,1943.998,12.291,4206,4206,0.3613,0.3613,0.8534,15,301,2708.876,15.2,3417,5197,0.2149,0.5294,0.9558,12,237,954.866,9.347,3749,4955,0.2657,0.4819,0.8859,13,271,1901.173,13.333
