file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
weight_sm_10.dat,2898,2898,0.4209,0.4209,0.9644,34,174,407.62,7.109,2582,4577,0.3331,0.9998,0.9642,7,187,401.407,9.829,4333,4333,0.6985,0.6985,0.8675,15,287,1970.604,13.919,4296,4296,0.743,0.743,0.8303,13,302,2482.231,15.416,2972,4755,0.3656,0.9588,0.9238,10,209,727.06,10.946,3385,4843,0.479,0.9466,0.8538,10,245,1441.307,12.839
weight_sm_38.dat,3626,3626,0.5918,0.5918,0.9818,47,223,392.713,8.762,2733,4651,0.3541,0.9873,0.9442,14,190,447.563,8.97,4607,4607,0.7644,0.7644,0.9246,31,303,2167.552,13.191,4525,4525,0.7985,0.7985,0.8531,27,314,2612.004,15.184,3414,5009,0.4527,0.9886,0.9383,21,233,816.879,10.559,3708,5051,0.5583,0.9703,0.859,20,264,1773.78,12.871
weight_sm_12.dat,3320,3320,0.4546,0.4546,0.9648,54,189,381.11,6.147,2807,4722,0.3245,0.9117,0.9772,9,191,376.111,7.271,4571,4571,0.7032,0.7032,0.8622,18,296,2097.364,12.303,4523,4523,0.7451,0.7451,0.8352,14,317,2584.535,15.551,3656,5142,0.4849,1.0,0.9266,11,253,997.847,11.895,3828,5213,0.5536,0.9996,0.9068,12,275,1669.595,13.137
weight_sm_13.dat,3091,3091,0.453,0.453,0.9663,37,185,370.04,7.477,3100,4877,0.3387,0.9655,0.9813,16,205,319.331,7.159,4726,4726,0.7621,0.7621,0.8514,18,314,2214.639,14.803,4756,4756,0.7929,0.7929,0.8543,16,325,2821.346,17.012,3486,5091,0.448,1.0,0.8763,17,242,887.772,12.067,3839,5301,0.5068,1.0,0.8752,15,270,1700.774,13.753
weight_sm_48.dat,3429,3429,0.4524,0.4524,0.9623,69,194,408.196,6.36,2895,4598,0.2961,0.864,0.9757,21,188,358.859,6.751,4545,4545,0.7309,0.7309,0.8563,27,301,2154.486,13.535,4557,4557,0.7763,0.7763,0.8599,25,319,2639.528,15.824,3493,5036,0.4263,0.9998,0.933,25,235,1049.502,10.801,3651,4971,0.5324,1.0,0.8647,24,262,1672.978,13.053
weight_sm_49.dat,3653,3653,0.5016,0.5016,0.9767,48,204,415.846,6.221,3113,5052,0.3067,1.0,0.9656,15,196,412.977,6.502,4876,4876,0.7709,0.7709,0.8865,31,306,2243.866,12.515,4796,4796,0.7914,0.7914,0.8403,23,317,2643.436,14.519,3697,5169,0.4938,0.9999,0.9199,16,249,823.179,11.368,4119,5431,0.5909,1.0,0.9024,18,286,1826.596,13.498
weight_sm_41.dat,3376,3376,0.5004,0.5004,0.9729,31,196,365.617,6.64,3102,5263,0.3521,0.9999,0.973,11,205,404.492,6.925,4511,4511,0.7691,0.7691,0.8591,16,302,2023.408,13.817,4530,4530,0.7881,0.7881,0.8455,14,309,2828.967,14.848,3285,5324,0.4286,0.9998,0.9014,9,225,966.075,9.379,3745,5332,0.5399,1.0,0.8347,10,266,1776.901,12.565
weight_sm_40.dat,3658,3658,0.4582,0.4582,0.9801,39,199,390.883,5.231,3095,5066,0.3585,0.9998,0.952,15,211,449.016,9.532,4883,4883,0.7508,0.7508,0.876,24,318,2252.768,13.992,4860,4860,0.7875,0.7875,0.8391,21,333,2841.57,15.974,3963,5689,0.4616,1.0,0.9477,15,266,1003.661,10.901,4234,5564,0.5616,0.9991,0.884,17,293,1899.008,13.515
weight_sm_42.dat,3447,3447,0.5371,0.5371,0.9591,50,212,436.184,8.624,2840,5282,0.32,1.0,0.9627,7,196,427.505,8.197,4657,4657,0.7496,0.7496,0.8904,19,301,2271.614,12.727,4566,4566,0.7468,0.7468,0.8298,18,309,2594.954,14.352,3317,5384,0.4474,1.0,0.9508,7,242,844.662,10.697,3776,5242,0.526,0.9999,0.8799,12,267,1660.03,12.925
weight_sm_43.dat,3182,3182,0.484,0.484,0.9802,39,201,347.972,8.629,2661,4408,0.3212,0.9426,0.9712,9,191,404.428,9.42,4319,4319,0.7069,0.7069,0.8634,20,291,1966.391,13.823,4269,4269,0.7458,0.7458,0.832,19,304,2456.699,16.451,3155,4589,0.3656,0.8953,0.959,10,218,666.979,8.191,3471,5293,0.4871,1.0,0.8994,12,254,1480.707,12.77
