file_name,x,y,c,n,price_price,price_weight,price_space,price_selected,price_time,price_price_ls,price_weight_ls,price_space_ls,price_selected_ls,price_time_ls,weight_price,weight_weight,weight_space,weight_selected,weight_time,weight_price_ls,weight_weight_ls,weight_space_ls,weight_selected_ls,weight_time_ls,side_linear_price,side_linear_weight,side_linear_space,side_linear_selected,side_linear_time,side_linear_price_ls,side_linear_weight_ls,side_linear_space_ls,side_linear_selected_ls,side_linear_time_ls,side_quad_price,side_quad_weight,side_quad_space,side_quad_selected,side_quad_time,side_quad_price_ls,side_quad_weight_ls,side_quad_space_ls,side_quad_selected_ls,side_quad_time_ls,combined_linear_price,combined_linear_weight,combined_linear_space,combined_linear_selected,combined_linear_time,combined_linear_price_ls,combined_linear_weight_ls,combined_linear_space_ls,combined_linear_selected_ls,combined_linear_time_ls,combined_quad_price,combined_quad_weight,combined_quad_space,combined_quad_selected,combined_quad_time,combined_quad_price_ls,combined_quad_weight_ls,combined_quad_space_ls,combined_quad_selected_ls,combined_quad_time_ls
weight_lg_44.dat,10000,100,100,1000,7576,10000,9384,287,1443.786,7576,10000,9384,413,1451.724,6945,8249,9617,28,2631.112,7619,9999,9617,474,2656.329,7066,10000,5727,419,925.665,7066,10000,5727,419,925.682,6283,10000,3902,419,1025.919,6283,10000,3902,419,1025.945,7566,9901,9216,33,4168.34,7630,9999,9216,519,4198.682,7600,9998,8667,52,1536.107,7602,10000,8667,522,1548.319
weight_sm_46.dat,10000,100,100,1000,3222,4930,9679,35,416.665,3222,4930,9679,195,427.871,2806,3073,9685,8,464.639,4614,9514,9685,190,476.141,4733,7746,9104,16,2757.611,4733,7746,9104,317,2778.655,4603,7859,8303,13,3340.547,4603,7859,8303,321,3363.693,3441,4236,9639,10,732.952,4995,9471,9639,234,744.451,3529,4697,8362,9,1757.112,4949,9667,8362,249,1774.939
side_sm_10.dat,10000,100,100,1000,1822,1663,9599,28,177.288,1822,1663,9599,125,183.304,1668,1083,9737,13,153.853,2144,2174,9737,118,158.956,2787,2530,8711,19,975.105,2787,2530,8711,196,985.822,2768,2560,8359,16,1302.233,2768,2560,8359,204,1315.619,2031,1373,9577,14,232.647,2397,2296,9577,143,237.527,2405,1938,8481,17,962.282,2741,2851,8481,177,973.794
side_sm_38.dat,10000,100,100,1000,1790,1302,9751,24,100.999,1790,1302,9751,100,103.745,1726,966,9713,9,133.943,2368,2170,9713,108,137.446,2956,2526,8397,13,1160.983,2956,2526,8397,198,1173.487,2939,2570,8202,12,1343.946,2939,2570,8202,199,1357.208,2202,1474,9000,14,405.813,2774,2665,9000,144,413.613,2488,1974,8039,12,1613.406,2908,2823,8039,177,1628.331
side_sm_12.dat,10000,100,100,1000,1456,1025,9741,18,96.799,1456,1025,9741,87,99.601,1678,983,9651,8,180.906,1985,1754,9651,112,186.146,2529,2071,8661,11,783.52,2529,2071,8661,166,794.085,2481,2041,8108,9,2231.304,2481,2041,8108,169,2243.404,1961,1216,8981,9,385.169,2284,2013,8981,133,392.432,2142,1497,8413,6,786.072,2442,2174,8413,151,796.633
weight_sm_44.dat,10000,100,100,1000,3395,5426,9609,55,544.419,3395,5426,9609,209,557.123,2998,3560,9828,24,429.222,4985,9967,9828,213,441.378,4560,7620,8704,22,3747.851,4560,7620,8704,307,3768.151,4587,8091,8720,21,3444.886,4587,8091,8720,326,3468.073,3312,4197,9377,11,1121.306,5033,9997,9377,236,1138.369,3739,5427,8858,14,3700.024,5025,9998,8858,274,3727.193
side_lg_38.dat,10000,100,100,1000,1825,575,9764,17,348.753,1825,575,9764,115,365.405,1641,433,9746,9,224.006,2008,712,9746,116,231.209,2668,931,8461,11,1351.62,2668,931,8461,188,1365.302,2686,992,8342,9,1395.114,2686,992,8342,201,1412.931,2162,615,8707,8,958.849,2740,1091,8707,158,969.624,2408,764,8303,7,1625.422,2855,1126,8303,183,1648.114
weight_lg_46.dat,10000,100,100,1000,7565,9999,9378,276,2559.252,7565,9999,9378,405,2570.099,7004,8944,9753,19,3906.2,7510,10000,9753,490,3959.851,6797,10000,5283,402,1074.428,6797,10000,5283,402,1074.448,6197,10000,3854,419,1206.239,6197,10000,3854,419,1206.257,7327,9480,9277,23,5120.915,7566,9999,9277,507,5151.025,7342,9995,8495,21,1819.14,7347,10000,8495,517,1832.782
side_lg_10.dat,10000,100,100,1000,1715,521,9820,18,97.911,1715,521,9820,100,100.737,1759,434,9819,9,151.222,2242,847,9819,114,155.948,2650,944,7801,10,1283.347,2650,944,7801,177,1297.541,2688,1013,7819,9,1490.298,2688,1013,7819,189,1504.981,2222,627,8937,10,489.942,2599,1000,8937,147,497.72,2348,732,7648,9,1181.686,2706,1061,7648,163,1196.545
uniform_44.dat,10000,100,100,1000,3053,2362,9686,40,469.38,3053,2362,9686,176,478.263,2646,1703,9737,15,547.185,4182,4073,9737,177,561.278,4327,3753,8759,25,2791.611,4327,3753,8759,290,2814.273,4261,3840,8206,23,3240.956,4261,3840,8206,295,3265.09,3169,2202,9474,16,1038.771,5196,5235,9474,215,1054.88,3554,2750,8682,16,2154.204,4720,4648,8682,248,2173.947
uniform_45.dat,10000,100,100,1000,3046,2184,9751,40,434.678,3046,2184,9751,176,454.261,2750,1567,9677,11,563.558,4460,4500,9677,183,575.876,4431,3548,8823,21,3523.193,4431,3548,8823,295,3550.161,4449,3717,8714,16,3428.004,4449,3717,8714,305,3450.733,3549,2380,9275,17,1209.767,4672,4584,9275,243,1226.922,3627,2515,8206,17,2137.662,4610,4451,8206,256,2157.292
side_lg_11.dat,10000,100,100,1000,1751,529,9714,19,125.694,1751,529,9714,105,129.831,1718,397,9537,12,182.37,2066,709,9537,112,187.948,2531,835,8420,12,988.513,2531,835,8420,176,1001.282,2504,875,7949,10,1315.075,2504,875,7949,182,1330.504,2019,502,9177,11,372.68,2461,881,9177,136,379.351,2268,674,8613,11,894.313,2605,933,8613,164,906.193
weight_lg_47.dat,10000,100,100,1000,7368,10000,9391,285,1705.236,7368,10000,9391,401,1724.641,6967,9131,9501,28,5274.972,7348,10000,9501,484,5308.068,6667,10000,5117,403,1144.534,6667,10000,5117,403,1144.578,5926,10000,3348,405,1285.975,5926,10000,3348,405,1285.992,7444,9978,9353,23,5950.695,7452,9999,9353,516,5998.619,7131,10000,7866,504,1884.534,7131,10000,7866,504,1884.555
side_lg_39.dat,10000,100,100,1000,1788,581,9685,20,148.019,1788,581,9685,118,153.101,1895,515,9768,9,279.529,2089,759,9768,126,287.236,2783,959,8572,14,1327.561,2783,959,8572,189,1342.394,2797,1010,8502,13,1907.533,2797,1010,8502,197,1921.907,2399,723,8840,13,770.134,2558,950,8840,168,782.557,2530,803,8555,14,1236.791,2789,1036,8555,181,1253.736
weight_sm_45.dat,10000,100,100,1000,3140,4470,9719,46,457.489,3140,4470,9719,175,465.613,2957,3735,9731,18,2053.291,5055,10000,9731,209,2074.835,4470,7351,8874,26,4580.865,4470,7351,8874,296,4602.297,4423,7652,8467,21,3686.3,4423,7652,8467,305,3711.443,3197,4114,8977,20,1393.985,4841,9997,8977,223,1518.647,3496,4983,8149,20,2109.493,4685,9271,8149,250,2133.66
