file_name,x,y,c,n,price_price,price_weight,price_space,price_selected,price_time,price_price_ls,price_weight_ls,price_space_ls,price_selected_ls,price_time_ls
weight_lg_26.dat,10000,100,100,1000,7483,9999,9519,262,1496.134,7483,9999,9519,404,1504.692
side_sm_4.dat,10000,100,100,1000,1924,1368,9746,23,119.623,1924,1368,9746,107,122.632
weight_sm_7.dat,10000,100,100,1000,3436,5331,9685,39,486.892,3436,5331,9685,209,499.432
uniform_24.dat,10000,100,100,1000,3368,2368,9757,39,454.034,3368,2368,9757,202,465.143
uniform_30.dat,10000,100,100,1000,3007,2431,9810,34,330.805,3019,2463,9810,181,340.082
uniform_18.dat,10000,100,100,1000,2867,2063,9831,34,339.84,2867,2063,9831,165,347.772
uniform_19.dat,10000,100,100,1000,3297,2350,9674,60,473.329,3297,2350,9674,195,483.368
uniform_31.dat,10000,100,100,1000,3151,2345,9721,39,411.761,3151,2345,9721,185,421.313
uniform_25.dat,10000,100,100,1000,3601,2409,9714,43,454.885,3601,2409,9714,198,463.211
weight_sm_6.dat,10000,100,100,1000,3538,5457,9805,38,440.652,3538,5457,9805,220,453.2
side_sm_5.dat,10000,100,100,1000,2222,1539,9742,17,152.558,2222,1539,9742,130,157.45
weight_lg_27.dat,10000,100,100,1000,7489,10000,9270,277,994.53,7489,10000,9270,393,999.556
weight_lg_33.dat,10000,100,100,1000,7663,10000,9366,278,1678.369,7663,10000,9366,418,1686.61
uniform_4.dat,10000,100,100,1000,3206,2294,9646,65,468.772,3206,2294,9646,185,478.075
weight_lg_5.dat,10000,100,100,1000,7524,10000,9242,285,1099.691,7524,10000,9242,392,1104.908
side_lg_6.dat,10000,100,100,1000,1556,525,9742,18,116.181,1556,525,9742,101,120.029
weight_sm_31.dat,10000,100,100,1000,3610,5492,9761,34,492.255,3610,5492,9761,222,505.123
weight_sm_25.dat,10000,100,100,1000,3272,4435,9833,34,351.39,3272,4435,9833,178,358.48
weight_sm_19.dat,10000,100,100,1000,3451,5480,9808,43,438.484,3451,5480,9808,209,450.74
weight_sm_33.dat,10000,100,100,1000,3249,4940,9824,38,1564.444,3249,4940,9824,205,1582.892
weight_sm_27.dat,10000,100,100,1000,3257,5062,9641,39,684.698,3257,5062,9641,201,699.463
side_lg_4.dat,10000,100,100,1000,1917,604,9748,19,155.813,1917,604,9748,119,161.1
weight_lg_7.dat,10000,100,100,1000,7361,10000,9426,270,1674.367,7361,10000,9426,401,1682.517
uniform_6.dat,10000,100,100,1000,3166,2227,9685,34,489.973,3166,2227,9685,192,502.051
weight_lg_19.dat,10000,100,100,1000,7661,10000,9572,274,1940.852,7661,10000,9572,420,1949.379
weight_lg_25.dat,10000,100,100,1000,7638,10000,9539,293,2153.16,7638,10000,9539,412,2160.962
weight_lg_31.dat,10000,100,100,1000,7874,10000,9390,297,2031.881,7874,10000,9390,413,2039.031
side_sm_7.dat,10000,100,100,1000,1952,1489,9802,17,152.313,1952,1489,9802,127,158.226
weight_sm_4.dat,10000,100,100,1000,3002,4784,9770,51,431.049,3002,4784,9770,174,574.092
uniform_33.dat,10000,100,100,1000,3223,2268,9673,37,818.272,3223,2268,9673,187,828.019
uniform_27.dat,10000,100,100,1000,3308,2575,9800,49,497.605,3308,2575,9800,201,509.714
uniform_26.dat,10000,100,100,1000,3117,2297,9718,55,1308.171,3117,2297,9718,181,1361.532
uniform_32.dat,10000,100,100,1000,3231,2132,9625,42,1540.997,3231,2132,9625,186,1550.39
weight_sm_5.dat,10000,100,100,1000,3208,5135,9716,38,470.693,3208,5135,9716,197,482.587
side_sm_6.dat,10000,100,100,1000,2078,1487,9793,19,150.795,2078,1487,9793,124,155.003
weight_lg_30.dat,10000,100,100,1000,7877,10000,9500,301,2299.166,7877,10000,9500,416,2306.925
weight_lg_24.dat,10000,100,100,1000,7671,10000,9330,279,2229.26,7671,10000,9330,404,2238.345
weight_lg_18.dat,10000,100,100,1000,7392,10000,9352,270,1732.186,7392,10000,9352,387,1737.605
uniform_7.dat,10000,100,100,1000,3272,2322,9577,41,781.58,3272,2322,9577,179,789.498
weight_lg_6.dat,10000,100,100,1000,7691,10000,9378,328,1925.024,7691,10000,9378,389,1928.653
side_lg_5.dat,10000,100,100,1000,1743,547,9737,13,460.789,1743,547,9737,107,495.031
weight_sm_26.dat,10000,100,100,1000,3409,5024,9771,36,882.228,3409,5024,9771,206,895.116
weight_sm_32.dat,10000,100,100,1000,3550,5264,9784,40,681.975,3550,5264,9784,215,700.516
